id,SKU,Nombre del producto,Modelo,Categoría,Marca,Precio de venta,Costo,Tipo de producto,Unidad de medida,Código de barras,Tipo de producto - Afecta inventario,Imagen del producto
1471,4769,BATERIA XIAOMI NOTE 3 MCE8 BM46,,BATERIAS,,130,69,Inventariable,PZ,100038,true,
1472,4770,BATERIA XIAOMI NOTE 4 PRO BN41,,BATERIAS,,160,75,Inventariable,PZ,100046,true,
1476,4781,TESTER DE VOLTAJE PARA IPHONE JC C1 1A GEN,,OUTLET,,640,540,Inventariable,PZ,100317,true,
1477,4782,CAMARA TRASERA HUAWEI P30 PRO VOG-L29 /VOG-L04,,CAMARAS,,450,208,Inventariable,PZ,100083,true,
1478,4783,FLEX LCD MAIN OCTA SAMSUNG A20 A205F OCTA,,FLEXOS,,70,17.5,Inventariable,PZ,100270,true,
1479,4785,BOCINA ALTAVOZ SAMSUNG A30 A40 A50,,AUDIO,,30,5.505,Inventariable,PZ,100054,true,
1480,4786,PRECALENTADORA MA ANT MY13 IPHONE X-XS MAX,,OUTLET,,720,160,Inventariable,PZ,100076,true,
1481,4787,BOCINA HUAWEI P20 P20 PRO,,AUDIO,,120,75,Inventariable,PZ,100055,true,
1482,4788,TAPA TRASERA XIAOMI MI 11 LITE 4G AZUL,,TAPAS Y MARCOS,,120,110,Inventariable,PZ,100335,true,
1484,4791,SUJETADOR DE LOGICA SUNSHINE SS601D,,OUTLET,,410,240,Inventariable,PZ,100294,true,
1485,4792,TAPA TRASERA XIAOMI REDMI 6A DORADO,,TAPAS Y MARCOS,,30,10.5,Inventariable,PZ,100361,true,
1486,4793,TOUCH ZTE A5 2019,,TOUCH,,120,38,Inventariable,PZ,100339,true,
1490,4801,CC ZTE BLADE Z982 V ULTRA,,CENTRO CARGA,,90,55,Inventariable,PZ,100131,true,
1492,4803,CAMARA FRONTAL HUAWEI P30 LITE A32N01A MAR-L01A MAR-LX1M,,CAMARAS,,150,95,Inventariable,PZ,100078,true,
1493,4804,BOTON FISICO MOTO C PLUS,,BOTONES,,50,11,Inventariable,PZ,100060,true,
1494,4805,FLEX HUELLA MOTO ONE NEGRO,,FLEXOS,,170,38,Inventariable,PZ,100248,true,
1495,4806,FLEX HUELLA MOTO ONE BLANCO,,FLEXOS,,170,38,Inventariable,PZ,100247,true,
1496,4807,CHAROLA SIM SAMSUNG M30 DORADO DUAL,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100136,true,
1497,4808,CHAROLA SIM SAMSUNG M30 GRIS,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100137,true,
1498,4809,CHAROLA SIM SAMSUNG M30 AZUL,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100135,true,
1499,4810,CARGADOR INALAMBRICO BOWAY Z1,,OUTLET,,225,50,Inventariable,PZ,100090,true,
1500,4811,CAMARA SEGURIDAD XIAOMI MJSXJ02CM,,OUTLET,,960,500,Inventariable,PZ,100081,true,
1501,4813,TAPETE SEPARADOR GLASS CP300 CPB,,OUTLET,,1695,647.5,Inventariable,PZ,100326,true,
1502,4815,CINTA DOBLE CARA 3M TRANSPARENTE 3MM,,INSUMOS,,50,11,Inventariable,PZ,100190,true,
1505,4827,TAPETE SOLDAR CALOR SILICON NEGRO MAT,,OUTLET,,185,95,Inventariable,PZ,100368,true,
1506,4828,ESTACION DE CALOR YIHUA 8509,,OUTLET,,2400,2000,Inventariable,PZ,100238,true,
1507,4829,CAUTIN YIHUA 950,,HERRAMIENTAS,,2400,2100,Inventariable,PZ,100240,true,
1508,4830,SEPARADORA GLASS LCD TOUCH YIHUA 946D-III,,HERRAMIENTAS,,2810,1060.8,Inventariable,PZ,100327,true,
1509,4831,PALO XIAOMI BLUETOOTH SELFIESTICK,,OUTLET,,160,90,Inventariable,PZ,100379,true,
1510,4832,FLEX HUELLA XIAOMI REDMI 5 NEGRO,,FLEXOS,,30,7,Inventariable,PZ,100256,true,
1511,4833,FLEX HUELLA XIAOMI REDMI NOTE 3 PRO PLATA,,FLEXOS,,30,7,Inventariable,PZ,100260,true,
1513,4836,CC XIAOMI REDMI 3S,,CENTRO CARGA,,60,12,Inventariable,PZ,100124,true,
1514,4837,CC XIAOMI REDMI 5,,CENTRO CARGA,,50,20,Inventariable,PZ,100126,true,
1515,4838,CC XIAOMI REDMI NOTE 3 NOTE 3 PRO NOTE 3 PRO SE,,CENTRO CARGA,,70,20,Inventariable,PZ,100129,true,
1516,4839,CHAROLA SIM HUAWEI P30 PRO AZUL,,CHAROLA SIM,,30,4,Inventariable,PZ,100151,true,
1518,4841,CHAROLA SIM XIAOMI REDMI 3S 3X 3 DORADO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100169,true,
1519,4842,CHAROLA SIM XIAOMI REDMI 3S 3X 3 PLATA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100171,true,
1523,4846,CHAROLA SIM XIAOMI REDMI 6 PRO A2 LITE DORADO,,CHAROLA SIM,,60,8,Inventariable,PZ,100184,true,
1524,4847,CHAROLA SIM XIAOMI REDMI 6 PRO MI A2 LITE ROJO,,CHAROLA SIM,,60,4.5,Inventariable,PZ,100185,true,
1525,4848,CHAROLA SIM XIAOMI REDMI 4X PLATA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100174,true,
1526,4849,CHAROLA SIM XIAOMI REDMI 4X ROSA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100175,true,
1527,4850,CHAROLA SIM XIAOMI REDMI 5 DORADO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100176,true,
1528,4851,CHAROLA SIM XIAOMI REDMI 5 ROSA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100177,true,
1529,4852,CHAROLA SIM XIAOMI REDMI NOTE 4 PRO PLATA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100189,true,
1530,4853,CHAROLA SIM XIAOMI REDMI NOTE 4 PRO DORADO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100188,true,
1531,4854,CHAROLA SIM XIAOMI REDMI NOTE 4 PRO GRIS,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100187,true,
1532,4857,FLEX HUELLA XIOMI REDMI 4X NEGRO,,FLEXOS,,60,13,Inventariable,PZ,100264,true,
1533,4858,FLEX HUELLA XIAOMI REDMI 4X ROSA,,FLEXOS,,50,35,Inventariable,PZ,100255,true,
